"Obj","Labl","Def","NAVID;English","TA2ID","English","Synonyms","Latin","Synonyms","Fran?ais","Synonyms","Espa?ol","Sin?nimos","Portugues","Sin?nimos","Italiano","Polski","Parsi","Deutsch","T?rk?e","Hindi","??"
"","x","x","","1513","Tuberosity of distal phalanx of foot","","Tuberositas phalangis distalis pedis","%Tuberositas unguicularis pedis","Tub?rosit? de la phalange distale du pied","","Tuberosidad de la falange distal del pie","","Tuberosidade da falange distal do p?","","Tuberosit? della falange distale del piede","Guzowato?? paliczka dalszego stopy","???? ??? ??? ????? ??","Tuberositas der distalen phalanx des fu?es","Aya??n distal falanks?n?n t?berozitesi","??? ?? ?????? ????????? ?? ???????????","???????"
"x","","x","","1514","Sesamoid bones of foot","","Ossa sesamoidea pedis","","Os s?samo?des du pied","","Huesos sesamoideos del pie","","Ossos sesam?ides do p?","","Ossa sesamoidi del piede","Trzeszczki stopy","??????? ??? ????? ??","Sesambeinknochen des fu?es","Ayak sesamoid kemikleri","??? ?? ??????? ????????","???"
"","x","x","1760;Joints","1515","Joints","%Bony joints%Articular system","Juncturae","%Juncturae ossium%Arthrologia%Systema articulare%Syndesmologia","Articulations","%Syst?me articulaire%Arthrologie","Articulaciones","","Articula??es","","Articolazioni","Po??czenia","????????","Gelenke","Eklemler","???? (???????)","??"
"","","","1759;Arthrology","1516","Joint","%Articulation%Articular system%Arthrology","Junctura","%Junctura ossium","Articulation","","Articulaci?n","","Articula??o","","Articolazione","Po??czenie","??????","Gemeinsam","Ba?lant?","??? (??????)","???"
"","x","x","1761;Fibrous joints","1517","Fibrous joints","","Juncturae fibrosae","%Articulationes fibrosae","Articulations fibreuses","","Articulaciones fibrosas","","Articula??es fibrosas","","Articolazioni fibrose","Po??czenia w??kniste","????????? ???? ???","Faserverbindungen","lifli eklemler","??????? ??????","????"
"","x","x","","1518","Syndesmoses","","Syndesmoses","","Syndesmoses","","Sindesmosis","","Sindesmoses","","Sindesmosi","Wi?zozrosty","?? ????","Syndesmosen","sendromlar","????????????","???"
"","x","","","1519","Interosseous ligament","","Ligamentum interosseum","","Ligament interosseux","","Ligamento inter?seo","","Ligamento inter?sseo","","Legamento interosseo","Wi?zad?o mi?dzykostne","?????? ??? ????????","Inteross?res ligament","interosse?z ba?","?????????? ????????","????"
"","x","","","1520","Interosseous membrane","","Membrana interossea","","Membrane interosseuse","","Membrana inter?sea","","Membrana inter?ssea","","Membrana interossea","B?ona mi?dzykostna","???? ??? ????????","Inteross?re membran","interosse?z zar","??????????? ?????????","???"
"","x","x","1768;Gomphosis","1521","Gomphosis","%Socket joint","Gomphosis","%Syndesmosis dentoalveolaris","Gomphose","","Gonfosis","","Gomfose","","Gonfosi","Wklinowanie","?????? ??? ? ????","Gomphose","gomfoz","?????????","???"
"","x","x","?1798;Sutures of the head","1522","Sutures","","Suturae","","Sutures","","Suturas","","Suturas","","Sutura","Szwy","?????","N?hte","diki?ler","?????","???"
"","x","x","1766;Plane suture","1523","Plane suture","","Sutura plana","%Sutura squamosa%Squamous suture%Sutura squamalis","Suture plane","","Sutura plana","","Sutura plana","","Sutura piana","Szew p?aski","??? ?????","Flachnaht","d?zlem s?t?r","????? ????","????"
"","x","x","","1524","Limbous suture","","Sutura limbosa","","Suture limbique","","Sutura limbica","","Sutura l?mbica","","Sutura limbica","Szew r?bkowy","??? ????? ??","Limbusnaht","Limb?z s?t?r","????? ????","????"
"","x","x","1764;Serrate suture","1525","Serrate suture","%Serrated suture","Sutura serrata","","Suture dentel?e","","Sutura serrada","","Sutura serrilhada","","Sutura serrata","Szew pi?owaty","??? ????? ??","S?gezahnnaht","t?rt?kl? s?t?r","??????? ????","????"
"","x","x","","1526","Denticulate suture","%Denticulated suture","Sutura denticulata","","Suture denticul?e","","Sutura denticulada","","Sutura denticulada","","Sutura dentata","Szew z?bkowany","??? ?????? ??","Dentikula-naht","Di?li s?t?r","?????????? ????","???"
"","x","x","1767;Schindylesis","1527","Schindylesis","","Schindylesis","","Schindyl?se","","Esquindilesis","","Esquindilese","","Schindilesi","Szew schodkowy","?????? ??? ??- ??????? (????? ????? ?? ??? ? ??????? ???)","Schindylese","?indilez","???????????","?????"
"","x","x","1770;Cartilaginous joints","1528","Cartilaginous joints","","Juncturae cartilagineae","%Articulationes cartilagineae","Articulation cartilagineuse","","Articulaciones cartilaginosas","","Articula??es cartilaginosas","","Articolazioni cartilaginee","Po??czenia chrz?stne","????????? ??????","Knorpelgelenke","k?k?rdak eklemler","???????????? ??????","????"
"","x","x","?1847;Synchondroses of the skull","1529","Synchondroses","%Primary cartilaginous joints","Synchondroses","%Hyaline cartilage joint","Articulation cartilagineuse primaire","","Sincondrosis","","Sincondroses","","Sincondrosi","Chrz?stkozrosty","?????? ?????? ?? ????","Synchondrosen","senkondrozlar","??????????????","???"
"","","","","1530","Epiphysial cartilage (part of joints)","","Vartilago epiphysialis (partem articulis)","","Cartilage ?piphysaire (partie des articulations)","","Cart?lago epifisario (parte de las articulaciones)","","Cartilagem epifis?ria (parte das articula??es)","","Cartilagine epifisaria (parte delle articolazioni)","Chrz?stka nasadowa (cz??? staw?w)","????? ?? ???? ??","","Epifiz k?k?rdak (eklemlerin bir par?as?)","?????????? ????????? (?????? ?? ?????) ",""
"","x","x","1772;Symphysis","1531","Symphysis","%Secondary cartilaginous joint%Fibrocartilaginous joint","Symphysis","","Symphyse","%Articulation cartilagineuse secondaire%Articulation fibrocartilagineuse","S?nfisis","","S?nfise","","Sinfisi","Spojenie","?????? ?? ???","Symphyse","Simfiz","?????????","??"
"","x","x","684;Synostosis","1532","Synostosis","%Bony union","Junctura ossea","%Synostosis","Synostose","","Articulaci?n ?sea","","Sinostose","","Sinostosi","Po??czenia kostne","???????? ????????","Synostose","sinostoz","????????????","??"
"","x","x","1773;Synovial joints","1533","Synovial joint","","Junctura synovialis","%Articulus%Diarthrosis%Articulatio synovialis","Articulation synoviale","","Articulaci?n sinovial","","Articula??o sinovial","","Articolazione sinoviale","Po??czenia maziowe","?????? ???? (???? ????)","Synovialgelenk","sinovyal eklem","????????? ??????","????"
"","x","x","1784;Articular cavity","1534","Articular cavity","","Cavitas articularis","%Cavum articulare","Cavit? articulaire","","Cavidad articular","","Cavidade articular","","Cavit? articolare","Jama stawowa","????? ??????","Gelenkh?hle","Eklem bo?lu?u","????????? ??????","???"
"","","x","","1535","Synovial fluid","","Liquor synovialis","%Synovia%Synovia","Liquide synovial","%Synovie","L?quido sinovial","","Fluido sinovial","","Liquido sinoviale","Ma? stawowa","?? ?????? ????","Gelenkschmiere","eklem s?v?s?","????????? ??????","??"
"","x","x","1788;Articular capsule","1536","Articular capsule","%Joint capsule","Capsula articularis","","Capsule articulaire","","C?psula articular","","C?psula articular","","Capsula articolare","Torebka stawowa","???? ??????","Gelenkkapsel","Eklem kaps?l?","????????? ???????","???"
"","","","","1537","Fibrous layer of articular capsule","%Fibrous membrane of articular capsule","Stratum fibrosum capsulae articularis","%Membrana fibrosa capsulae articularis","Membrane fibreuse de la capsule articulaire","","Capa fibrosa de la c?psula articular","","Camada fibrosa da c?psula articular","","Membrana fibrosa della capsula articolare","Warstwa w??knista torebki stawowej","???? ???? ?? ???? ??????","Faserschicht der gelenkkapsel","Eklem kaps?l?n?n lifli tabakas?","????????? ??????? ?? ??????? ????","??????"
"","","","","1538","Synovial membrane of articular capsule","%Synovial layer of articular capsule","Stratum synoviale capsulae articularis","%Membrana synovialis capsulae articularis","Membrane synoviale de la capsule articulaire","","Capa sinovial de la c?psula articular","","Membrana sinovial da c?psula articular","","Membrana sinoviale della capsula articolare","Warstwa maziowa torebki stawowej","???? ?????? ????","Synovialmembran der gelenkkapsel","Eklem kaps?l?n?n sinoviyal zar?","????????? ??????? ?? ????????? ?????????","?????"
"","","","1791;Synovial fold","1539","Synovial fold","","Plica synovialis","%Plica articularis%Haversian fold","Plis synovial","","Pliegue sinovial","","Dobra sinovial","","Plica sinoviale","Fa?d maziowy","??? ???? ???? ??????","Synovialfalte","Sinovyal k?vr?m","????????? ?????","????"
"","","","1792;Synovial Villi","1540","Synovial villus","","Villus synovialis","%Villus articularis","Villosit?s synoviales","","Vellosidad sinovial","","Vilosidade sinovial","","Villi sinoviali","Kosmyk maziowy","??? ???? ???? ??????","Synovialzotte","Sinovyal villus","????????? ????","????"
"","x","x","","1541","Articular fibrocartilage","%Articular fibrous cartilage","Fibrocartilago articularis","%Cartilago fibrosa articularis","Fibrocartilage articulaire","","Fibrocart?lago articular","","Fibrocartilagem articular","","Fibrocartilagine articolare","Chrz?stka w??knista stawowa","?????? ???? ?? ???????","Gelenkfaserknorpel","Eklem fibrokartilaj?","????????? ????????????????","??????"
"","","","1787;Articular labrum","1542","Articular labrum","","Labrum articulare","%Labium articulare","Bourrelet articulaire","","Labro articular","","L?bio articular","","Labbro articolare","Obr?bek stawowy","??? ???????","Gelenklabrum","Eklem labrum","????????? ??????","???"
"","","","1785;Articular disc","1543","Articular disc","","Discus articularis","","Disque articulaire","","Disco articular","","Disco articular","","Disco articolare","Kr??ek stawowy","???? ???????","Gelenkscheibe","Eklem diski","????????? ?????","???"
"","","","1786;Meniscus","1544","Meniscus","","Meniscus articularis","","M?nisque articulaire","","Menisco articular","","Menisco","","Menisco","??kotka stawowa","????? ??? ??????","Meniskus","Menisk?s","???????","???"
"","x","","","1545","Accessory ligaments","","Ligamenta accessoria","","Ligaments accessoires","","Ligamentos accesorios","","Ligamentos acess?rios","","Legamenti accessori","Wi?zad?a dodatkowe","?????? ??? ???? ??","Zubeh?rb?nder","aksesuar ba?lar","???????? ?????????","????"
"","","","1797;Intracapsular ligaments","1546","Intracapsular ligament","","Ligamentum intracapsulare","","Ligament intracapsulaire","","Ligamento intracapsular","","Ligamento intracapsular","","Legamento intracapsulare","Wi?zad?o wewn?trztorebkowe","?????? ???? ?????","Intrakapsul?res ligament","intrakaps?ler ba?","?????????????? ????????","????"
"","","","","1547","Capsular ligament","","Ligamentum capsulare","","Ligament capsulaire","","Ligamento capsular","","Ligamento capsular","","Legamento capsulare","Wi?zad?o torebkowe","?????? ?????","Kapselband","kaps?l ba??","???????? ????????","???"
"","","","1795;Extracapsular ligaments","1548","Extracapsular ligament","","Ligamentum extracapsulare","","Ligament extracapsulaire","","Ligamento extracapsular","","Ligamento extracapsular","","Legamento extracapsulare","Wi?zad?o zewn?trztorebkowe","??????? ???? ?????","Extrakapsul?res ligament","Ekstrakaps?ler ba?","????????????????? ????????","????"
"","x","x","","1549","Articular recess","","Recessus articularis","","R?cessus articulaire","","Receso articular","","Recesso articular","","Recesso articolare","Zachy?ek stawowy","?? ??? ???????","Gelenkaussparung","Eklem girintisi","????????? ?????","???()"
"","x","x","","1550","Synarthrosis","","Synarthrosis","","Synarthrose","","Sinartrosis","","Sinartrose","","Sinartrosi","Synartroza","?????? ?? ???? (?? ???)","Synarthrose","sinartroz","?????????????","???()"
"","x","x","","1551","Amphiarthrosis","","Amphiarthrosis","","Amphiarthrose","","Anfiartrosis","","Anfiartrose","","Anfiartrosi","Amfiartroza","?????? ?? ????( ?? ????)","Amphiarthrose","Amfiartroz","???????????????","????"
"","x","x","","1552","Diarthrosis","","Diarthrosis","","Diarthrose","","Diartrosis","","Diartrose","","Diartrosi","Diartroza","?????? ????????","Durchfall","diartroz","??????????","???())"
"","x","x","1774;Simple joint","1553","Simple joint","","Articulatio simplex","%Articulus simplex","Articulation simple","","Articulaci?n simple","","Junta simples","","Articolazione semplice","Staw prosty","?????? ????","Einfache verbindung","basit eklem","?????? ??????","????"
"","x","x","1775;Complex joint","1554","Complex joint","","Articulatio composita","%Articulus compositus","Articulation compos?e","","Articulaci?n compleja","","Junta complexa","","Articolazione composta","Staw z?o?ony","?????? ??????","Komplexe verbindung","Karma??k eklem","??????????? ??????","????"
"","x","x","1776;Plane joint","1555","Plane joint","","Articulatio plana","%Articulus planus","Articulation plane","","Articulaci?n plana","","Junta plana","","Articolazione piana","Staw p?aski","?????? ???","Ebenes gelenk","D?zlem eklemi","????? ?????? ","????"
"","x","","","1556","Cylindrical joints","","Articulationes cylindricae","","Articulation cylindrique","","Articulaci?n cil?ndricas","","Juntas cil?ndricas","","Articolazioni cilindriche","Staw walcowy","?????? ??????? ??","Zylindrische gelenke","silindirik ba?lant?lar","???????????? ??????","????"
"","","","1781;Pivot joint","1557","Pivot joint","","Articulatio trochoidea","%Articulus trochoideus","Articulation trocho?de","","Articulaci?n trocoidea","","Junta pivotante","","Articolazione trocoide","Staw obrotowy","?????? ??? ??","Drehgelenk","Pivot eklem","????? ?????? ","????"
"","","","1779;Hinge joint","1558","Hinge joint","","Ginglymus","","Ginglyme","","G?nglimo","","Junta de dobradi?a","","Ginglimo","Staw zawiasowy","?????? ??????","Scharniergelenk","mente?e ba?lant?s?","????? ??????","??"
"","x","x","","1559","Bicondylar joint","","Articulatio bicondylaris","","Articulation bicondylaire","","Articulaci?n bicondilar","","Articula??o bicondilar","","Articolazione a condilo","Staw dwuk?ykciowy","?????? ?? ????? ??","Bikondyl?res gelenk","bikondiler eklem","??????????? ????","????"
"","x","x","1782;Saddle joint","1560","Saddle joint","%Sellar joint","Articulatio sellaris","%Articulus sellaris","Articulation en selle","","Articulaci?n selar","","Junta selar","","Articolazione a sella","Staw siode?kowy","?????? ????","Sattelgelenk","Eyer eklemi","???? ????","????"
"","x","x","1778;Ellipsoid joint","1561","Ellipsoid joint","%Condylar joint","Articulatio ellipsoidea","%Articulus ellipsoideus%Ellipsoidal joint","Articulation ?llipso?de","","Articulaci?n elipsoidea","","Junta elipsoide","","Articolazione ellissoidea","Staw k?ykciowy","?????? ??? ????","Ellipsoidgelenk","Elipsoid eklem","????????? (????????????) ????","????"
"","x","x","1777;Spheroidal joint","1562","Ball and socket joint","%Spheroidal joint%Cotyloid joint","Articulatio sphaeroidea","%Enarthrosis%Articulatio cotylica%Articulus sphaeroideus%Articulatio spheroideus%Enarthrosis sphaeroidea%Cotylic joint","Articulation sph?ro?de","","Articulaci?n esferoidea","","Junta esf?rica","","Articolazione sferoidea","Staw kulisty wolny","?????? ??? ?????","Kugelgelenk","Top ve soket eklem","??? ?? ????? ?????","????"
"","x","x","7646;Joints of skull","1563","Joints of skull","","Juncturae cranii","","Articulations cr?niennes","","Articulaciones del cr?neo","","Juntas do cr?nio","","Articolazioni del cranio","Po??czenia czaszki","?????? ??? ???? ??","Gelenke des sch?dels","Kafatas? eklemleri","?????? ?? ????","????"
"","x","x","7656;Cranial fibrous joints","1564","Cranial fibrous joints","","Juncturae fibrosae cranii","","Articulations fibreuses cr?niennes","","Articulaciones fibrosas craneales","","Juntas fibrosas cranianas","","Articolazioni fibrose craniche","Po??czenia w??kniste czaszki","????????? ???? ?? ???? ??","Kraniale faserige gelenke","Kranial fibr?z eklemler","???????? ??????? ????","??????"
"","x","x","7657;Cranial syndesmoses","1565","Cranial syndesmoses","","Syndesmoses cranii","%Ligamenta cranii","Syndesmoses cr?niennes","","Sindesmosis craneales","","Sindesmoses cranianas","","Sindesmosi craniche","Wi?zozrosty czaszki","????????? ?? ???? ???? ??","Kraniale syndesmosen","Kranial sendromlar","???????? ???????????","????"
"x","","x","","1566","Pterygospinous ligament","","Ligamentum pterygospinale","%Ligamentum pterygospinosum%Ligament of Civinini","Ligament pt?rygo-?pineux","","Ligamento pterigo-espinoso","","Ligamento pterigoespinhoso","","Legamento pterigospinale","Wi?zad?o skrzyd?owo-kolcowe","?????? ????? ????","Pterygospin?ses ligament","Pterigospin?z ba?","???????????? ????????","????"
"x","","x","","1567","Stylohyoid ligament","","Ligamentum stylohyoideum","","Ligament stylohyo?de","","Ligamento estilohioideo","","Ligamento estilo-hi?ideo","","Legamento stiloioideo","Wi?zad?o rylcowo- gnykowe","?????? ???? ?? ????","Ligamentum stylohyoideum","Stylohyoid ba?","??????????? ????????","??????"
"x","","x","","1568","Sphenomandibular ligament","","Ligamentum sphenomandibulare","","Ligament sph?nomandibulaire","","Ligamento esfenomandibular","","Ligamento esfenomandibular","","Legamento sfenomandibolare","Wi?zad?o klinowo-?uchwowe","?????? ?? ??? ?? ?????? ??????","Ligamentum sphenomandibulare","Sfenomandibular ba?","??????????????? ????????","?????"
"x","","x","","1569","Stylomandibular ligament","","Ligamentum stylomandibulare","","Ligament stylomandibulaire","","Ligamento estilomandibular","","Ligamento estilomandibular","","Legamento stilomandibolare","Wi?zad?o rylcowo-?uchwowe","?????? ???? ??- ?????? ? ??????","Stylomandibulares ligament","Stylomandibular ba?","???????????????? ????????","?????"
"","","","","1570","Ligaments of auricle","","Ligamenta auricularia","%Ligamenta Valsalvae","Ligaments auriculaires","","Ligamentos de la oreja","","Ligamentos da orelha","","Legamenti del padiglione auricolare","Wi?zad?a ma??owiny usznej","?????? ??? ???? ???","B?nder der ohrmuschel","kulak kep?esi ba?lar?","????? ?? ?????????? ","????"
"","","","","1571","Anterior ligament of auricle","","Ligamentum auriculare anterius","","Ligament auriculaire ant?rieur","","Ligamento anterior de la oreja","","Ligamento anterior da orelha","","Legamento auricolare anteriore","Wi?zad?o przednie ma??owiny usznej","?????? ???? ???? ???","Vorderband der ohrmuschel","kulak kep?esinin ?n ba??","????? ?? ????????? ????????","?????"
"","","","","1572","Superior ligament of auricle","","Ligamentum auriculare superius","","Ligament auriculaire sup?rieur","","Ligamento superior del la oreja","","Ligamento superior da orelha","","Legamento auricolare superiore","Wi?zad?o g?rne ma??owiny usznej","?????? ?????? ???? ???","Oberes ligament der ohrmuschel","Kulak kep?esinin ?st?n ba??","????? ?? ???????? ????????","?????"
"","","","","1573","Posterior ligament of auricle","","Ligamentum auriculare posterius","","Ligament auriculaire post?rieur","","Ligamento posterior de la oreja","","Ligamento posterior da orelha","","Legamento auricolare posteriore","Wi?zad?o tylne ma??owiny usznej","?????? ??? ???? ???","Hinteres band der ohrmuschel","Kulak kep?esinin arka ba??","????? ?? ?????????? ????????","?????"
"","","","","1574","Cranial sutures","","Suturae cranii","","Sutures cr?niennes","","Suturas craneales","","Suturas cranianas","","Suture craniche","Szwy czaszki","?????? ???? ???","Sch?deln?hte","Kranial s?t?rler","???????? ??????","???"
"","","","1799;Coronal suture","1575","Coronal suture","%Frontoparietal suture","Sutura coronalis","%Sutura coronaria","Suture coronale","","Sutura coronal","","Sutura coronal","","Sutura coronale","Szew wie?cowy","??? ????","Koronarnaht","Koronal diki?","?????? ???? ","???"
"","","","1800;Sagittal suture","1576","Sagittal suture","%Interparietal suture","Sutura sagittalis","","Suture sagittale","","Sutura sagital","","Sutura sagital","","Sutura sagittale","Szew strza?kowy","??? ?????","Sagittalnaht","Sajital s?t?r","?????? ????","????"
"","","","1801;Lambdoid suture","1577","Lambdoid suture","%Lambdoidal suture%Parietooccipital suture","Sutura lambdoidea","%Sutura lambdoides","Suture lambdo?de","","Sutura lambdoide","","Sutura lambd?ide","","Sutura lambdoidea","Szew w?g?owy","??? ?????? ????","Lambdoide naht","Lambdoid s?t?r","????????? ????","????"
"","","","1804;Occipitomastoid suture","1578","Occipitomastoid suture","","Sutura occipitomastoidea","","Suture occipitomasto?dienne","","Sutura occipitomastoidea","","Sutura occipitomast?idea","","Sutura occipitomastoidea","Szew potyliczno-sutkowy","??? ?? ??? ??????","Okzipitomastoideus-naht","Oksipitomastoid s?t?r","????????????????? ?????","?????"
"","","","","1579","(Accessory occipital suture)","%Mendosal suture","(Sutura occipitalis accessoria)","%Sutura mendosa","(Suture occipitale accessoire)","","(Sutura occipital accesoria)","","(Sutura occipital acess?ria)","","(Sutura occipitale accessoria)","(Dodatkowy szew potyliczny)","??? ?? ??? ???? ?","(Zus?tzliche okzipitalnaht)","(Aksesuar oksipital s?t?r)","(???????? ????????? ????)","(???????"
"","","","1806;Sphenofrontal suture","1580","Sphenofrontal suture","%Frontosphenoidal suture","Sutura sphenofrontalis","","Suture sph?nofrontale","","Sutura esfenofrontal","","Sutura esfenofrontal","","Sutura sfenofrontale","Szew klinowo-czo?owy","??? ?? ??? ??-??????","Sphenofrontale naht","Sfenofrontal s?t?r","???????????? ????","????"
"","","","1807;Sphenoethmoid suture","1581","Spheno-ethmoidal suture","","Sutura sphenoethmoidea","%Sutura sphenoethmoidalis","Suture sph?no-ethmo?dale","","Sutura esfeno-etmoidal","","Sutura esfenoetmoidal","","Sutura sfeno-etmoidale","Szew klinowo-sitowy","??? ?? ??? ??- ???????","Keilbein-ethmoidalnaht","Sfeno-etmoid s?t?r","??????-??????? ????","???"
"","","","1808;Sphenosquamous suture","1582","Sphenosquamous suture","","Sutura sphenosquamosa","%Sutura sphenosquamalis","Suture sph?nosquameuse","","Sutura esfenoescamosa","","Sutura esfenoescamosa","","Sutura sfenosquamosa","Szew klinowo-?uskowy","??? ?? ??? ??-?????","Sphenosquam?se naht","sfenoskuam?z s?t?r","?????????????? ????","????"
"","","","1809;Sphenoparietal suture","1583","Sphenoparietal suture","","Sutura sphenoparietalis","","Suture sph?nopari?tale","","Sutura esfenoparietal","","Sutura esfenoparietal","","Sutura sfenoparietale","Szew klinowo-ciemieniowy","??? ?? ??? ??-?????? ??","Sphenoparietale naht","Sfenoparietal s?t?r","????????????? ????","???"
"","","","1813;Squamous suture","1584","Squamous suture","%Squamosal suture","Sutura squamosa","%Sutura parietotemporalis","Suture squameuse","","Sutura escamosa","","Sutura escamosa","","Sutura squamosa","Szew ?uskowy","??? ?????","Plattenepithelnaht","skuam?z s?t?r","???????? ????","????"
"","","","","1585","(Frontal suture)","%Metopic suture","(Sutura frontalis persistens)","%Sutura metopica","(Suture m?topique)","","(Sutura frontal persistente)","","(Sutura frontal)","","(Sutura frontale)","(Szew czo?owy)","??? ??????","(Frontalnaht)","(?nden diki?)","(?????? ????)","(?????"
"","","","","1586","Parietomastoid suture","","Sutura parietomastoidea","","Suture pari?tomasto?dienne","","Sutura parietomastoidea","","Sutura parietomast?idea","","Sutura parietomastoidea","Szew ciemieniowo-sutkowy","??? ?????? ??-??????","Parietomastoideusnaht","parietomastoid s?t?r","??????????????? ????","?????"
"","","","","1587","(Squamomastoid suture)","","(Sutura squamomastoidea)","%Sutura mastoideosquamalis","(Suture squamomasto?dienne)","","(Sutura escamomastoidea)","","(Sutura escamomastoide)","","(Sutura squamosomastoidea)","Szew ?uskowo-sutkowy","??? ?????- ??????","(Plattenepithel-naht)","(Skuamomastoid s?t?r)","(???????????????? ????)","(???????"
"","","","1817;Frontonasal suture","1588","Frontonasal suture","","Sutura frontonasalis","%Sutura nasofrontalis","Suture frontonasale","","Sutura frontonasal","","Sutura frontonasal","","Sutura frontonasale","Szew czo?owo-nosowy","??? ??????- ????","Frontonasale naht","frontonazal s?t?r","?????????? ????","????"
"","","","1818;Frontoethmoid suture","1589","Fronto-ethmoidal suture","","Sutura frontoethmoidea","%Sutura frontoethmoidalis","Suture fronto-ethmo?dale","","Sutura fronto-etmoidal","","Sutura frontoetmoidal","","Sutura fronto-etmoidale","Szew czo?owo-sitowy","??? ??????- ???????","Frontoethmoidales nahtmaterial","Fronto-etmoid s?t?r","??????-??????? ????","???"
"","","","1819;Frontomaxillary suture","1590","Frontomaxillary suture","","Sutura frontomaxillaris","","Suture frontomaxillaire","","Sutura frontomaxilar","","Sutura frontomaxilar","","Sutura frontomascellare","Szew czo?owo-szcz?kowy","??? ??????- ?????? ??????","Frontomaxill?re naht","frontomaksiller s?t?r","??????????????? ????","????"
"","","","1820;Frontolacrimal suture","1591","Frontolacrimal suture","","Sutura frontolacrimalis","","Suture frontolacrymale","","Sutura frontolagrimal","","Sutura frontolacrimal","","Sutura frontolacrimale","Szew czo?owo-?zowy","??? ?????? -????","Frontolacrimalnaht","frontolakrimal s?t?r","??????-????????? ????","????"
"","","","1821;Frontozygomatic suture","1592","Frontozygomatic suture","","Sutura frontozygomatica","%Sutura zygomaticofrontalis","Suture frontozygomatique","","Sutura frontocigom?tica","","Sutura frontozigom?tica","","Sutura frontozigomatica","Szew czo?owo-jarzmowy","??? ??????- ???? ??","Frontozygomatische naht","frontozigomatik s?t?r","????????????????? ????","????"
"","","","1823;Zygomaticomaxillary suture","1593","Zygomaticomaxillary suture","%Infraorbitary suture","Sutura zygomaticomaxillaris","%Sutura infraorbitalis","Suture zygomaticomaxillaire","","Sutura cigomaticomaxilar","","Sutura zigomaticomaxilar","","Sutura zigomaticomascellare","Szew jarzmowo-szcz?kowy","??? ???? ??- ?????? ??????","Zygomaticomaxillare naht","Zigomatikomaksiller s?t?r","???????????????????? ????","?????"
"","","","1829;Ethmoidomaxillary suture","1594","Ethmoidomaxillary suture","","Sutura ethmoidomaxillaris","","Suture ethmo?domaxillaire","","Sutura etmoidomaxilar","","Sutura etmoidomaxilar","","Sutura etmoidomascellare","Szew sitowo-szcz?kowy","??? ???????- ?????? ??????","Ethmidomaxillare naht","etmidomaksiller s?t?r","??????????????? ????","?????"
"","","","","1595","Ethmoidolacrimal suture","","Sutura ethmoidolacrimalis","%Sutura lacrimoethmoidea","Suture ethmo?dolacrymale","","Sutura etmoidolagrimal","","Sutura etmoidolacrimal","","Sutura etmoidolacrimale","Szew sitowo-?zowy","??? ???????- ????","Ethmoidolacrimalnaht","etmoidolakrimal s?t?r","??????????????? ???? ","????"
"","","","","1596","Sphenovomerine suture","","Sutura sphenovomeralis","%Sutura sphenovomeriana","Suture sph?novom?rienne","","Sutura de esfenovomeriana","","Sutura esfenovomerina","","Sutura sfenovomeriana","Szew klinowo-lemieszowy","??? ?? ??? ??- ????","Sphenovomerine naht","Sfenovomerin s?t?r","???????????? ????","?????"
"","","","","1597","Sphenozygomatic suture","","Sutura sphenozygomatica","","Suture sph?nozygomatique","","Sutura esfenocigom?tica","","Sutura esfenozigom?tica","","Sutura sfenozigomatica","Szew klinowo jarzmowy","??? ?? ??? ??- ???? ??","Keilbeinstichnaht","sfenozigomatik s?t?r","????????????????? ???? ","???"
"","","","1831;Sphenomaxillary suture","1598","Sphenomaxillary suture","","Sutura sphenomaxillaris","","Suture sph?nomaxillaire","","Sutura esfenomaxilar","","Sutura esfenomaxilar","","Sutura sfenomascellare","Szew klinowo-szcz?kowy","??? ?? ??? ??-?????? ??????","Sphenomaxillare naht","Sfenomaksiller s?t?r","??????????????? ???? ","?????"
"","","","1832;Temporozygomatic suture","1599","Temporozygomatic suture","%Zygomaticotemporal suture","Sutura temporozygomatica","%Sutura zygomaticotemporalis","Suture temporozygomatique","","Sutura temporocigom?tica","","Sutura temporozigom?tica","","Sutura temporozigomatica","Szew skroniowo jarzmowy","??? ???????-???? ??","Temporozygomatische naht","temporozigomatik s?t?r","??????????????????? ????","????"
"","","","1833;Internasal suture","1600","Internasal suture","","Sutura internasalis","","Suture internasale","","Sutura internasal","","Sutura interna","","Sutura internasale","Szew mi?dzynosowy","??? ??? ????","Internes nahtmaterial","i? diki?","???????? ????","????"
"","","","1834;Nasomaxillary suture","1601","Nasomaxillary suture","","Sutura nasomaxillaris","","Suture nasomaxillaire","","Sutura nasomaxilar","","Sutura nasomaxilar","","Sutura nasomascellare","Szew nosowo-szcz?kowy","??? ????- ?????? ??????","Nasomaxill?re naht","nazomaksiller s?t?r","????????????? ????","?????"
"","","","1836;Lacrimomaxillary suture","1602","Lacrimomaxillary suture","","Sutura lacrimomaxillaris","","Suture lacrymomaxillaire","","Sutura lacrimomaxilar","","Sutura lacrimomaxilar","","Sutura lacrimomascellare","Szew ?zowo-szcz?kowy","??? ????- ?????? ??????","Tr?nenwegsnaht","lakrimomasiller s?t?r","????????????????? ????","?????"
