
"English;Latin;Français;Español;Portugues;Italiano;TA2ID"
"Anterior sacral foramina;Foramina sacralia anteriora;Foramens sacraux antérieurs;Forámenes sacros anteriores;Forame sacral anterior;Forami sacrali anteriori;1082"
"Dorsal surface of sacrum;Facies dorsalis ossis sacri;Face dorsale du sacrum;Cara dorsal del hueso sacro;Superfície dorsal do sacro;Faccia dorsale del sacro;1083"
"Median sacral crest;Crista sacralis mediana;Crête sacrale médiane;Cresta sacra mediana;Crista sacral mediana;Cresta sacrale mediana;1084"
"Posterior sacral foramina;Foramina sacralia posteriora;Foramens sacraux postérieurs;Forámenes sacros posteriores;Forame sacral posterior;Forami sacrali posteriori;1085"
"Intermediate sacral crest;Crista sacralis medialis;Crête sacrale intermédiaire;Cresta sacra medial;Crista sacral intermediária;Cresta sacrale mediale;1086"
"Lateral sacral crest;Crista sacralis lateralis;Crête sacrale latérale;Cresta sacra lateral;Crista sacral lateral;Cresta sacrale laterale;1087"
"Sacral horn;Cornu sacrale;Corne sacrale;Cuerno sacral;Corno sacral;Corno sacrale;1088"
"Sacral canal;Canalis sacralis;Canal sacral;Canal sacral;Canal sacral;Canale sacrale;1089"
"Sacral hiatus;Hiatus sacralis;Hiatus sacral;Hiato sacral;Hiato sacral;Iato sacrale;1090"
"Apex of sacrum;Apex ossis sacri;Apex du sacrum;Ápice del sacro;Ápice do sacro;Apice del sacro;1091"
"Coccyx;Os coccygis;Coccyx;Cóccix;Cóccix;Coccige;1092"
"Base of coccyx;Basis ossis coccygis;Base du coccyx;Base del hueso cóccix;Base do cóccix;Base del coccige;1093"
"Coccygeal horn;Cornu coccygeum;Corne du coccyx;Cuerno coccígeo;Corno coccígeo;Corno coccigeo;1094"
"Apex of coccyx;Apex ossis coccygis;Apex du coccyx;Ápice del cóccix;Ápice do cóccix;Apice del coccige;1095"
"Thoracic skeleton;Skeleton thoracis;Squelette thoracique;Esqueleto torácico;Esqueleto torácico;Scheletro del torace;1096"
"Cavity of bony thorax;Cavitas thoracis ossei;Cavité thoracique osseuse;Cavidad ósea del tórax;Cavidade óssea do tórax;Cavità della gabbia toracica;1097"
"Superior thoracic aperture;Apertura superior thoracis;Ouverture thoracique supérieure;Abertura torácica superior;Abertura torácica superior;Apertura superiore del torace;1098"
"Inferior thoracic aperture;Apertura inferior thoracis;Ouverture thoracique inférieure;Abertura torácica inferior;Abertura torácica inferior;Apertura inferiore del torace;1099"
"Pulmonary groove;Sulcus pulmonalis;Sillon pulmonaire;Surco pulmonar;Sulco pulmonar;Solco polmonare;1100"
"Costal arch;Arcus costalis;Arc costal;Arco costal;Arco costal;Arco costale;1101"
"Intercostal space;Spatium intercostale;Espace intercostal;Espacio intercostal;Espaço intercostal;Spazio intercostale;1102"
"Infrasternal angle;Angulus infrasternalis;Angle infracostal;Ángulo infraesternal;Ângulo infraesternal;Angolo infrasternale;1103"
"Bones of thorax;Ossa thoracis;Os du thorax;Huesos del tórax;Ossos do tórax;Ossa del torace;1104"
"Ribs;Costae;Côtes;Costillas;Costelas;Coste;1105"
"True ribs;Costae verae;Vraies côtes;Costillas verdaderas;Costelas verdadeiras;Coste vere;1106"
"First rib;Costa prima;Première côte;Primera costilla;Primeira costela;Prima costa;1107"
"Scalene tubercle;Tuberculum musculi scaleni anterioris;Tubercule du muscle scalène antérieur;Tubérculo del musculo escaleno anterior;Tubérculo escaleno;Tubercolo del muscolo scaleno;1108"
"Groove for subclavian artery;Sulcus arteriae subclaviae;Sillon de l'artère subclavière;Surco para la arteria subclavia;Sulco para artéria subclávia;Solco dell'arteria succlavia;1109"
"Groove for subclavian vein;Sulcus venae subclaviae;Sillon de la veine subclavière;Surco para la vena subclavia;Sulco para veia subclávia;Solco della vena succlavia;1110"
"Second rib;Costa secunda;Deuxième côte;Segunda costilla;Segunda costela;Seconda costa;1111"
"Tuberosity for serratus anterior muscle;Tuberositas musculi serrati anterioris;Tubérosité pour le muscle dentelé antérieur;Tuberosidad del músculo serrato anterior;Tuberosidade para o músculo serrátil anterior;Tuberosità del muscolo dentato anteriore;1112"
"Third rib;Tertia costa;Troisème côte;Tercera costilla;Terceira costela;Terza costa;1106*3"
"Fourth rib;Quarta costa;Quatrième côte;Cuarta costilla;Quarta costela;Quarta costa;1106*4"
"Fifth rib;Quinta costa;Cinquième côte;Quinta costilla;Quinta costela;Quinta costa;1106*5"
"Sixth rib;Sexta costa;Sixième côte;Sexta costilla;Sexta costela;Sesta costa;1106*6"
"Seventh rib;Septima costa;Septième côte;Séptima costilla;Sétima costela;Settima costa;1106*7"
"Eighth rib;Octava costa;Huitième côte;Octava costilla;Oitava costela;Ottava costa;1113*8"
"Ninth rib;Nona costa;Neuvième côte;Novena costilla;Nona costela;Nona costa;1113*9"
"Tenth rib;Decima costa;Dixième côte;Décima costilla;Décima costela;Decima costa;1113*10"
"Eleventh rib;Undecima costa;Onzième côte;Undécima costilla;Décima primeira costela;Undicesima costa;1114*11"
"Twelfth rib;Duodecima costa;Douzième côte;Duodécima costilla;Décima segunda costela;Dodicesima costa;1114*12"
"False ribs;Costae spuriae;Fausses côtes;Costillas falsas;Costelas falsas;Coste false;1113"
"Floating ribs;Costae fluctuantes;Côtes flottantes;Costillas flotantes;Costelas flutuantes;Coste fluttuanti;1114"
"Supernumerary ribs;Costae supernumerariae;Côtes surnuméraires;Costillas supranumerarias;Costelas supranumerárias;Coste soprannumerarie;1115"
"(Cervical rib);(Costa cervicalis);(Côte cervicale);(Costilla cervical);(Costela cervical);(Costa cervicale);1116"
"(Lumbar rib);(Costa lumbalis);(Côte lombaire);(Costilla lumbar);(Costela lombar);(Costa lombare);1117"
"Rib;Costa;Côte;Costilla;Costela;Costa;1118"
"Head of rib;Caput costae;Tête de la côte;Cabeza de la costilla;Cabeça de costela;Capo costale;1119"
"Articular facets of head of rib;Facies articulares capitis costae;Surfaces articulaires de la tête de la côte;Caras articulares de la cabeza de la costilla;Facetas articulares da cabeça da costela;Faccette articolari della testa della costa;1120"
"Crest of head of rib;Crista capitis costae;Crête de la tête de la côte;Cresta de la cabeza de la costilla;Crista da cabeça de costela;Cresta del capo costale;1121"
"Neck of rib;Collum costae;Col de la côte;Cuello de la costilla;Colo de costela;Collo costale;1122"
"Crest of neck of rib;Crista colli costae;Crête du col de la côte;Cresta del cuello de la costilla;Crista do colo da costela;Cresta del collo costale;1123"
"Body of rib;Corpus costae;Corps de la côte;Cuerpo de la costilla;Corpo de costela;Corpo costale;1124"
"Tubercle of rib;Tuberculum costae;Tubercule costal;Tubérculo costal;Tubérculo de costela;Tubercolo costale;1125"
"Articular facet of tubercle of rib;Facies articularis tuberculi costae;Surface articulaire du col de la côte;Cara articular del tubérculo de la costilla;Faceta articular do tubérculo da costela;Faccetta articolare del tubercolo costale;1126"
"Angle of rib;Angulus costae;Angle de la côte;Ángulo costal;Ângulo da costela;Angolo costale;1127"
"Costal groove;Sulcus costae;Sillon de la côte;Surco costal;Sulco costal;Solco costale;1128"
"Sternum;Sternum;Sternum;Esternón;Esterno;Sterno;1129"
"Manubrium of sternum;Manubrium sterni;Manubrium sternal;Manubrio del esternón;Manúbrio do esterno;Manubrio sternale;1130"
"Clavicular notch;Incisura clavicularis;Incisure claviculaire;Incisura clavicular;Incisura clavicular;Incisura clavicolare;1131"
"Jugular notch of sternum;Incisura jugularis sterni;Incisure jugulaire;Incisura yugular del esternón;Incisura jugular do esterno;Incisura giugulare dello sterno;1132"
"Sternal angle;Angulus sterni;Angle sternal;Ángulo esternal;Ângulo esternal;Angolo sternale;1133"
"Body of sternum;Corpus sterni;Corps du sternum;Cuerpo del esternón;Corpo do esterno;Corpo dello sterno;1134"
"Xiphoid process;Processus xiphoideus;Processus xiphoïde;Proceso xifoides;Processo xifóide;Processo xifoideo;1135"
"Costal notches;Incisurae costales;Incisures costales;Incisuras costales;Incisuras costais;Incisure costali;1136"
"Accessory bones of thorax;Ossa accessoria thoracis;Os accessoires du thorax;Huesos accesorios del tórax;Ossos acessórios do tórax;Ossa accessorie del torace;1137"
"(Suprasternal bones);(Ossa suprasternalia);(Os suprasternaux);(Huesos supraesternales);(Ossos supraesternais);(Ossa soprasternali);1138"
"Costal cartilages;Cartilagines costales;Cartilages costaux;Cartílagos costales;Cartilagens costais;Cartilagini costali;1139"
"Costal cartilage of first rib;Cartilago costae primae costae;Cartilage costal de la première côte;Cartílago costal de la primera costilla;Cartilagem costal da primeira costela;Cartilagine costale della prima costa;1140*1"
"Costal cartilage of second rib;Cartilago costae secundae costae;Cartilage costal de la deuxième côte;Cartílago costal de la segunda costilla;Cartilagem costal da segunda costela;Cartilagine costale della seconda costa;1140*2"
"Costal cartilage of third rib;Cartilago costae tertiae costae;Cartilage costal de la troisième côte;Cartílago costal de la tercera costilla;Cartilagem costal da terceira costela;Cartilagine costale della terza costa;1140*3"
"Costal cartilage of fourth rib;Cartilago costae quarti costae;Cartilage costal de la quatrième côte;Cartílago costal de la cuarta costilla;Cartilagem costal da quarta costela;Cartilagine costale della quarta costa;1140*4"
"Costal cartilage of fifth rib;Cartilago costae quinti costae;Cartilage costal de la cinquième côte;Cartílago costal de la quinta costilla;Cartilagem costal da quinta costela;Cartilagine costale della quinta costa;1140*5"
"Costal cartilage of sixth rib;Cartilago costae sextae costae;Cartilage costal de la sixième côte;Cartílago costal de la sexta costilla;Cartilagem costal da sexta costela;Cartilagine costale della sesta costa;1140*6"
"Costal cartilage of seventh rib;Cartilago costae septimi costae;Cartilage costal de la septième côte;Cartílago costal de la séptima costilla;Cartilagem costal da sétima costela;Cartilagine costale della settima costa;1140*7"
"Costal cartilage of eighth rib;Cartilago costae octavae costae;Cartilage costal de la huitième côte;Cartílago costal de la octava costilla;Cartilagem costal da oitava costela;Cartilagine costale dell'ottava costa;1140*8"
"Costal cartilage of ninth rib;Costa cartilago nonae costae;Cartilage costal de la neuvième côte;Cartílago costal de la novena costilla;Cartilagem costal da nona costela;Cartilagine costale della nona costa;1140*9"
"Costal cartilage of tenth rib;Cartilago costae decimae costae;Cartilage costal de la dixième côte;Cartílago costal de la décima costilla;Cartilagem costal da décima costela;Cartilagine costale della decima costa;1140*10"
"Bones of upper limb;Ossa membri superiori;Os du membre supérieur;Huesos del miembro superior;Ossos do membro superior;Ossa dell'arto superiore;1141"
"Bones of pectoral girdle;Ossa cinguli pectoralis;Os de la ceinture pectorale;Huesos del cíngulo pectoral;Ossos da cintura peitoral;Ossa del cingolo scapolare;1142"
"Scapula;Scapula;Scapula;Escápula;Escápula;Scapola;1143"
"Costal surface of scapula;Facies costalis scapulae;Face costale de la scapula;Cara costal de la escápula;Superfície costal da escápula;Faccia costale della scapola;1144"
"Subscapular fossa;Fossa subscapularis;Fosse subscapulaire;Fosa subescapular;Fossa subescapular;Fossa sottoscapolare;1145"
"Posterior surface of scapula;Facies posterior scapulae;Face postérieure de la scapula;Cara posterior de la escápula;Superfície posterior da escápula;Faccia posteriore della scapola;1146"
"Spine of scapula;Spina scapulae;Epine de la scapula;Espina de la escápula;Espinha da escápula;Spina della scapola;1147"
"Deltoid tubercle;Tuberculum deltoideum;Tubercule deltoïdien;Tubérculo deltoideo;Tubérculo deltóide;Tubercolo deltoide;1148"
"Spinoglenoid notch;Incisura spinoglenoidea;Incisure spinoglénoïde;Incisura espinoglenoidea;Incisura espinoglenoidal;Incisura spinoglenoidea;1149"
"Supraspinous fossa;Fossa supraspinata;Fosse supra-épineuse;Fosa supra-espinosa;Fossa supraespinhosa;Fossa sovraspinata;1150"
"Infraspinous fossa;Fossa infraspinata;Fosse infra-épineuse;Fosa infra-espinosa;Fossa infraspinosa;Fossa sottospinata;1151"
"Acromion;Acromion;Acromion;Acromion;Acrômio;Acromion;1152"
"Clavicular facet;Facies articularis clavicularis;Surface articulaire claviculaire;Cara articular clavicular;Faceta clavicular;Faccia articolare clavicolare;1153"
"Acromial angle;Angulus acromii;Angle acromial;Ángulo acromial;Ângulo acromial;Angolo acromiale;1154"
"Medial border of scapula;Margo medialis scapulae;Bord médial de la scapula;Margen medial de la escápula;Borda medial da escápula;Margine mediale della scapola;1155"
"Superior angle of scapula;Angulus superior scapulae;Angle supérieur de la scapula;Ángulo superior de la escápula;Ângulo superior da escápula;Angolo superiore della scapola;1156"
"Superior border of scapula;Margo superior scapulae;Bord supérieur de la scapula;Margen superior de la escápula;Borda superior da escápula;Margine superiore della scapola;1157"
"Scapular notch;Incisura scapulae;Incisure scapulaire;Incisura escapular;Incisura escapular;Incisura scapolare;1158"
"Coracoid process;Processus coracoideus;Processus coracoïde;Proceso coracoides;Processo coracóide;Processo coracoideo;1159"
"Lateral angle of scapula;Angulus lateralis scapulae;Angle latéral de la scapula;Ángulo lateral de la escápula;Ângulo lateral da escápula;Angolo laterale della scapola;1160"
"Glenoid process of scapula;Processus glenoideus scapulae;Processus glénoïde de la scapula;Proceso glenoideo de la escápula;Processo glenóide da escápula;Processo glenoideo della scapola;1161"
"Glenoid fossa;Fossa glenoidea;Cavité glénoïde;Fosa glenoidea;Fossa glenóide;Fossa glenoidea;1162"
"Supraglenoid tubercle;Tuberculum supraglenoideum;Tubercule supraglénoïdal;Tubérculo supraglenoideo;Tubérculo supraglenoidal;Tuberosità sovraglenoidea;1163"
"Infraglenoid tubercle;Tuberculum infraglenoideum;Tubercule infraglénoïdal;Tubérculo infraglenoideo;Tubérculo infraglenoidal;Tuberosità infraglenoidea;1164"
"Neck of scapula;Collum scapulae;Col de la scapula;Cuello de la escápula;Colo da escápula;Collo della scapola;1165"
"Lateral border of scapula;Margo lateralis scapulae;Bord latéral de la scapula;Margen lateral de la escápula;Borda lateral da escápula;Margine laterale della scapola;1166"
"Inferior angle of scapula;Angulus inferior scapulae;Angle inférieur de la scapula;Ángulo inferior de la escápula;Ângulo inferior da escápula;Angolo inferiore della scapola;1167"
"Clavicle;Clavicula;Clavicule;Clavícula;Clavícula;Clavicola;1168"
"Sternal end;Extremitas sternalis;Extrémité sternale;Extremidad esternal;Extremidade esternal;Estremità sternale;1169"
"Sternal articular surface;Facies articularis sternalis;Surface articulaire sternal;Cara articular esternal;Superfície articular esternal;Faccia articolare sternale;1170"
"Impression for costoclavicular ligament;Impressio ligamenti costoclavicularis;Empreinte du ligament costoclaviculaire;Impresión del ligamento costoclavicular;Impressão para ligamento costoclavicular;Impressione del legamento costoclavicolare;1171"
"Body of clavicle;Corpus claviculae;Corps de la clavicule;Cuerpo de la clavícula;Corpo da clavícula;Corpo della clavicola;1172"
"Groove for subclavius muscle;Sulcus musculi subclavii;Sillon du muscle sous-clavier;Surco para el músculo subclavio;Sulco para músculo subclávio;Solco del muscolo succlavio;1173"
"Acromial end;Extremitas acromialis;Extrémité acromiale;Extremidad acromial;Extremidade acromial;Estremità acromiale;1174"
"Acromial facet;Facies articularis acromialis;Surface articulaire acromiale;Cara articular acromial;Faceta acromial;Faccia articolare acromiale;1175"
"Tuberosity for coracoclavicular ligament;Tuberositas ligamenti coracoclavicularis;Tubérosité du ligament coracoclaviculaire;Tuberosidad para el ligamento coracoclavicular;Tuberosidade para ligamento coracoclavicular;Tuberosità del legamento coracoclavicolare;1176"
"Conoid tubercle;Tuberculum conoideum;Tubercule conoïde;Tubérculo conoide;Tubérculo conóide;Tubercolo conoide;1177"
"Trapezoid line;Linea trapezoidea;Ligne trapézoïde;Línea trapezoidal;Trapézio;Linea trapezoidale;1178"
"Bones of free part of upper limb;Ossa partis liberae membri superioris;Os de la partie libre du membre supérieur;Huesos de la parte libre del miembro superior;Ossos da parte livre do membro superior;Ossa della parte libera dell'arto superiore;1179"
"Humerus;Humerus;Humérus;Húmero;Úmero;Omero;1180"
"Head of humerus;Caput humeri;Tête de l'humérus;Cabeza del húmero;Cabeça de úmero;Testa dell'omero;1181"
"Anatomical neck of humerus;Collum anatomicum humeri;Col anatomique de l'humérus;Cuello anatómico del húmero;Colo anatômico do úmero;Collo anatomico dell'omero;1182"
"Surgical neck of humerus;Collum chirurgicum humeri;Col chirurgical de l'humérus;Cuello quirúrgico del húmero;Colo cirúrgico do úmero;Collo chirurgico dell'omero;1183"
"Greater tubercle;Tuberculum majus;Tubercule majeur;Tubérculo mayor;Tubérculo maior;Grande tuberosità;1184"
"Lesser tubercle;Tuberculum minus;Tubercule mineur;Tubérculo menor;Tubérculo menor;Piccola tuberosità;1185"
"Intertubercular sulcus;Sulcus intertubercularis;Sillon intertuberculaire;Surco intertubercular;Sulco intertubercular;Solco bicipitale;1186"
"Crest of greater tubercle;Crista tuberculi majoris;Crête du tubercule majeur;Cresta del tubérculo mayor;Crista do tubérculo maior;Cresta della grande tuberosità ;1187"
"Crest of lesser tubercle;Crista tuberculi minoris;Crête du tubercule mineur;Cresta del tubérculo menor;Crista do tubérculo menor;Cresta della piccola tuberosità;1188"
"Body of humerus;Corpus humeri;Corps de l'humérus;Cuerpo del húmero;Corpo do úmero;Corpo dell'omero;1189"
"Anteromedial surface of humerus;Facies anteromedialis humeri;Face antéromédiale de l'humérus;Cara anteromedial del húmero;Superfície ântero-medial do úmero;Faccia anteromediale dell'omero;1190"
"Anterior border of humerus;Margo anterior humeri;Bord antérieur de l'humérus;Margen anterior del húmero;Borda anterior do úmero;Margine anteriore dell'omero;1191"
"Anterolateral surface of humerus;Facies anterolateralis humeri;Face antérolatérale de l'humérus;Cara anterolateral del húmero;Superfície ântero-lateral do úmero;Faccia anterolaterale dell'omero;1192"
"Deltoid tuberosity;Tuberositas deltoidea;Tubérosité deltoïdienne;Tuberosidad deltoidea;Tuberosidade deltóide;Tuberosità deltoidea;1193"
"Lateral border of humerus;Margo lateralis humeri;Bord latéral de l'humérus;Margen lateral del húmero;Borda lateral do úmero;Margine laterale dell'omero;1194"
"Lateral supracondylar ridge;Crista supracondylaris lateralis crista;Crête supracondylaire latérale;Cresta supracondilar lateral;Crista supracondilar lateral;Cresta sopracondiloidea;1195"
"Posterior surface of humerus;Facies posterior humeri;Face postérieure de l'humérus;Cara posterior del húmero;Superfície posterior do úmero;Faccia posteriore dell'omero;1196"
"Radial groove;Sulcus nervi radialis;Sillon radial;Surco del nervio radial;Sulco radial;Solco del nervo radiale;1197"
"Medial border of humerus;Margo medialis humeri;Bord médial de l'humérus;Margen medial del húmero;Borda medial do úmero;Margine mediale dell'omero;1198"
"Medial supracondylar ridge;Crista supracondylaris medialis crista;Crête supracondylaire médiale;Cresta supracondilar medial;Crista supracondilar medial;Cresta sopratrocleare;1199"
"(Supracondylar process);(Processus supracondylaris);(Processus supracondylaire);(Proceso supracondilar);(Processo supracondilar);(Processo sopracondiloideo);1200"
"Condyle of humerus;Condylus humeri;Condyle de l'humérus;Cóndilo del húmero;Côndilo de úmero;Condilo omerale;1201"
"Capitulum of humerus;Capitulum humeri;Capitulum de l'humérus;Capitulo del húmero;Capitulo do úmero;Capitello omerale;1202"
"Trochlea of humerus;Trochlea humeri;Throchlée humérale;Tróclea del húmero;Tróclea de úmero;Troclea omerale;1203"
"Olecranon fossa;Fossa olecrani;Fosse olécrânienne;Fosa del olécranon;Fossa do olécrano;Fossa olecranica;1204"
"Coronoid fossa;Fossa coronoidea;Fosse coronoïde;Fosa coronoidea;Fossa coronoide;Fossa coronoidea;1205"
"Radial fossa;Fossa radialis;Fosse radiale;Fosa radial;Fossa radial;Fossa radiale;1206"
"Medial epicondyle of humerus;Epicondylus medialis humeri;Epicondyle médial de l'humérus;Epicóndilo medial del húmero;Epicôndilo medial do úmero;Epicondilo mediale dell'omero;1207"
"Groove for ulnar nerve;Sulcus nervi ulnaris;Sillon du nerf ulnaire;Surco del nervio ulnar;Sulco para nervo ulnar;Solco del nervo ulnare;1208"
"Lateral epicondyle of humerus;Epicondylus lateralis humeri;Épicondyle latéral de l'humérus;Epicóndilo lateral del húmero;Epicôndilo lateral do úmero;Epicondilo laterale dell'omero;1209"
"Radius;Radius;Radius;Radio;Rádio;Radio;1210"
"Head of radius;Caput radii;Tête du radius;Cabeza del radio;Cabeça do rádio;Testa del radio;1211"
"Articular facet of head of radius;Fovea articularis capitis radii;Fossette articulaire de la tête du radius;Faceta articular de la cabeza del radio;Faceta articular da cabeça do rádio;Fossetta articolare della testa del radio;1212"
"Articular circumference of head of radius;Circumferentia articularis capitis radii;Circonférence articulaire;Circunferencia articular de la cabeza del radio;Circunferência articular da cabeça do rádio;Circonferenza articolare della testa del radio;1213"
"Neck of radius;Collum radii;Col du radius;Cuello del radio;Colo do rádio;Collo del radio;1214"
"Body of radius;Corpus radii;Corps du radius;Cuerpo del radio;Corpo de raio;Corpo del radio;1215"
"Radial tuberosity;Tuberositas radii;Tubérosité radiale;Tuberosidad radial;Tuberosidade radial;Tubercolo bicipitale del radio;1216"
"Anterior surface of radius;Facies anterior radii;Face antérieure du radius;Cara anterior del radio;Superfície anterior do rádio;Faccia anteriore del radio;1217"
"Interosseous border of radius;Margo interosseus radii;Bord interosseux du radius;Margen interóseo del radio;Borda interóssea do rádio;Margine interosseo del radio;1218"
"Posterior surface of radius;Facies posterior radii;Face postérieure du radius;Cara posterior del radio;Superfície posterior do rádio;Faccia posteriore del radio;1219"
"Posterior border of radius;Margo posterior radii;Bord postérieur du radius;Margen posterior del radio;Borda posterior do rádio;Margine posteriore del radio;1220"
"Lateral surface of radius;Facies lateralis radii;Face latérale du radius;Cara lateral del radio;Superfície lateral do raio;Faccia laterale del radio;1221"
"Pronator tuberosity;Tuberositas pronatoria;Tubérosité du pronateur;Tuberosidad del pronador;Tuberosidade do pronador;Tuberosità pronatoria;1222"
"Anterior border of radius;Margo anterior radii;Bord antérieur du radius;Margen anterior del radio;Borda anterior do rádio;Margine anteriore del radio;1223"
"Suprastyloid crest;Crista suprastyloidea;Crête suprastyloïde;Cresta suprastiloidea;Crista supraestilóide;Cresta soprastiloidea;1224"
"Radial styloid process;Processus styloideus radii;Processus styloïde du radius;Proceso estiloides radial;Processo estilóide radial;Processo stiloideo del radio;1225"
"Dorsal radial tubercle;Tuberculum dorsale radii;Tubercule dorsal du radius;Tubérculo radial dorsal;Tubérculo radial dorsal;Tubercolo dorsale del radio;1226"
"Grooves for extensor tendons;Sulci tendinum extensorum;Sillons des tendons extenseurs;Surcos de los tendones extensores;Sulcos para tendões extensores;Solchi per i tendini estensori;1227"
"Ulnar notch;Incisura ulnaris;Incisure ulnaire;Incisura ulnar;Incisura ulnar;Incisura ulnare;1228"
"Carpal articular surface;Facies articularis carpea;Surface articulaire carpienne;Cara articular del carpo;Superfície articular do carpo;Faccia articolare carpale;1229"
"Ulna;Ulna;Ulna;Ulna;Ulna;Ulna;1230"
"Olecranon;Olecranon;Olécrane;Olécranon;Olécrano;Olecrano;1231"
"Coronoid process of ulna;Processus coronoideus ulnae;Processus coronoïde de l'ulna;Proceso coronoides de la ulna;Processo coronoide da ulna;Processo coronoideo dell'ulna;1232"
"Tuberosity of ulna;Tuberositas ulnae;Tubérosité de l'ulna;Tuberosidad de la ulna;Tuberosidade da ulna;Tuberosità ulnare;1233"
"Radial notch;Incisura radialis;Incisure radiale;Incisura radial;Incisura radial;Incisura radiale;1234"
"Trochlear notch;Incisura trochlearis;Incisure trochléaire;Incisura troclear;Incisusa troclear;Incisura trocleare;1235"
"Sublime tubercle;Tuberculum sublime;Tubercule sublime;Tubérculo sublime;Tubérculo sublime;Tubercolo sublime;1236"
"Body of ulna;Corpus ulnae;Corps de l'ulna;Cuerpo de la ulna;Corpo da ulna;Corpo dell'ulna;1237"
"Supinator crest;Crista supinatoria;Crête supinatrice;Cresta del supinador;Crista do supinador;Cresta del muscolo supinatore;1238"
"Anterior surface of ulna;Facies anterior ulnae;Face antérieure de l'ulna;Cara anterior de la ulna;Superfície anterior da ulna;Faccia anteriore dell'ulna;1239"
"Interosseous border of ulna;Margo interosseus ulnae;Bord interosseux de l'ulna;Margen interóseo de la ulna;Borda interóssea da ulna;Margine interosseo dell'ulna;1240"
"Posterior surface of ulna;Facies posterior ulnae;Face postérieure de l'ulna;Cara posterior de la ulna;Superfície posterior da ulna;Faccia posteriore dell'ulna;1241"
"Posterior border of ulna;Margo posterior ulnae;Bord postérieur de l'ulna;Margen posterior de la ulna;Borda posterior da ulna;Margine posteriore dell'ulna;1242"
"Medial surface of ulna;Facies medialis ulnae;Surface médiale de l'ulna;Cara medial de la ulna;Superfície medial da ulna;Faccia mediale dell'ulna;1243"
"Anterior border of ulna;Margo anterior ulnae;Bord antérieur de l'ulna;Margen anterior de la ulna;Borda anterior da ulna;Margine anteriore dell'ulna;1244"
"Head of ulna;Caput ulnae;Tête de l'ulna;Cabeza de la ulna;Cabeça da ulna;Testa dell'ulna;1245"
"Articular circumference of head of ulna;Circumferentia articularis capitis ulnae;Circonférence articulaire de la tête de l'ulna;Circunferencia articular de la cabeza de la ulna;Circunferência articular da cabeça da ulna;Circonferenza articolare della testa dell'ulna;1246"
"Ulnar styloid process;Processus styloideus ulnae;Processus styloïde de l'ulna;Proceso estiloides ulnar;Processo estilóide ulnar;Processo stiloideo ulnare;1247"
"Bones of hand;Ossa manus;Os de la main;Huesos de la mano;Ossos da mão;Ossa della mano;1248"
"Carpal bones;Ossa carpi;Os du carpe;Huesos del carpo;Ossos carpais;Ossa carpali;1249"
"Scaphoid bone;Os scaphoideum;Os scaphoîde;Hueso escafoides;Osso escafoide;Osso scafoide;1250"
"Tubercle of scaphoid bone;Tuberculum ossis scaphoidei;Tubercule de l'os scaphoïde;Tubérculo del hueso escafoides;Tubérculo do osso escafoide;Tubercolo del osso scafoide;1251"
"Lunate bone;Os lunatum;Os semilunaire;Hueso lunado;Osso semilunar;Osso semilunare;1252"
"Triquetrum bone;Os triquetrum;Os pyramidal;Hueso triquetral;Osso piramidal;Osso piramidale;1253"
"Pisiform bone;Os pisiforme;Os pisiforme;Hueso pisiforme;Osso pisiforme;Osso pisiforme;1254"
"Trapezium bone;Os trapezium;Os trapèze;Hueso trapecio;Osso trapézio;Osso trapezio;1255"
"Tubercle of trapezium bone;Tuberculum ossis trapezii;Tubercule de l'os trapèze;Tubérculo del hueso trapecio;Tubérculo do osso trapézio;Tubercolo dell'osso trapezio;1256"
"Trapezoid bone;Os trapezoideum;Os trapèzoïde;Hueso trapezoide;Osso trapézoide;Osso trapezoide;1257"
"Capitate bone;Os capitatum;Grand os;Hueso capitado;Osso capitato;Osso capitato;1258"
"Hamate bone;Os hamatum;Os crochu;Hueso hamatal;Osso hamato;Osso uncinato;1259"
"Hook of hamate bone;Hamulus ossis hamati;Crochet de l'os crochu;Hámulo del hueso hamatal;Gancho de osso hamato;Uncino dell'osso uncinato;1260"
"Carpal groove;Sulcus carpi;Sillon carpien;Surco del carpo;Sulco do carpo;Solco del carpo;1261"
"Accessory carpal bones;Ossa accessoria carpi;Os carpien accessoires;Huesos carpianos accesorios;Ossos carpais acessórios;Ossa carpali accessorie;1262"
"(Os centrale);(Os centrale);(Os central);(Os centrale);(Os centrale);(Osso centrale);1263"
"Metacarpal bones;Ossa metacarpi;Os métacarpiens;Huesos metacarpianos;Ossos metacarpais;Ossa metacarpali;1264"
"Metacarpal bone;Os metacarpi;Os métacarpien;Hueso metacarpiano;Osso metacarpo;Osso metacarpale;1265"
"Metacarpal base;Basis ossis metacarpi;Base de l'os métacarpien;Base del hueso metacarpiano;Base metacarpal;Base dell'osso metacarpale;1266"
"Body of metacarpal bone;Corpus ossis metacarpi;Corps de l'os métacarpien;Cuerpo del hueso metacarpiano;Corpo do osso metacarpo;Corpo dell'osso metacarpale;1267"
"Head of metacarpal bone;Caput ossis metacarpi;Tête de l'os métacarpien;Cabeza del hueso metacarpiano;Cabeça do osso metacarpo;Testa dell'osso metacarpale;1268"
"First metacarpal bone;Os primum metarcapi;Premier métacrapien;Primer hueso metacarpiano;Osso primeiro metacarpo;Primo osso metacarpale;1265*1"
